"location","mMAP_Symptomatic_Cases_9_19_2020","mMAP_Infections_9_19_2020"
"Washington",136079.357347521,226798.928912534
"Illinois",515376.942509226,858961.57084871
"California",1032538.88343658,1720898.13906096
"Arizona",308763.210830451,514605.351384085
"Massachusetts",510296.249539205,850493.749232008
"Wisconsin",72117.8453245705,120196.408874284
"Texas",1191371.49395248,1985619.15658747
"Nebraska",30228.0198999766,50380.0331666277
"Utah",37235.6868951252,62059.478158542
"Oregon",31099.6933839664,51832.8223066107
"Florida",693638.172149515,1156063.62024919
"New York",1746668.16761421,2911113.61269035
"Rhode Island",58052.6617596558,96754.4362660929
"Georgia",478969.799328526,798282.998880877
"New Hampshire",21729.0853551273,36215.1422585455
"North Carolina",213665.582958763,356109.304931271
"New Jersey",872899.866458933,1454833.11076489
"Colorado",132217.114498013,220361.857496688
"Maryland",228723.702992305,381206.171653842
"Nevada",100227.741221525,167046.235369209
"Tennessee",147601.13826067,246001.897101116
"Hawaii",7340.67788216457,12234.4631369409
"Indiana",210480.537196514,350800.895327524
"Kentucky",71004.5476559531,118340.912759922
"Minnesota",119084.590189422,198474.316982371
"Oklahoma",63364.5597810116,105607.599635019
"Pennsylvania",413472.558660386,689120.931100643
"South Carolina",188113.323966232,313522.206610387
"District of Columbia",44745.8251706676,74576.3752844461
"Kansas",41096.8789013835,68494.7981689724
"Missouri",129452.118002529,215753.530004215
"Vermont",2745.56004078596,4575.93340130993
"Virginia",203411.786999758,339019.644999597
"Connecticut",228258.251960182,380430.419933636
"Iowa",73811.3173446169,123018.862241028
"Louisiana",329233.816211271,548723.027018785
"Ohio",265360.939579749,442268.232632915
"Michigan",376355.847327783,627259.745546306
"South Dakota",13433.2528419227,22388.7547365379
"Arkansas",81037.4764332801,135062.460722134
"Delaware",32242.3675078729,53737.2791797882
"Mississippi",177970.966023696,296618.27670616
"New Mexico",47948.2474912057,79913.7458186761
"North Dakota",15870.7517652712,26451.2529421186
"Wyoming",3033.37694547937,5055.62824246562
"Alaska",4268.13581006358,7113.55968343931
"Maine",6382.99558119053,10638.3259686509
"Alabama",142800.037956436,238000.063260726
"Idaho",29508.9044862995,49181.5074771659
"Montana",10359.5922970822,17265.9871618037
"Puerto Rico",40806.031156157,68010.0519269283
"West Virginia",18379.651365586,30632.7522759767
"United States",12137629.854098,20229383.0901634
